"No.","Time","Source","Destination","Protocol","Length","Info"
"214526","91.150350201","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=57525 Ack=52474 Win=2038 Len=1368 TSval=2428256410 TSecr=1553791623 [TCP segment of a reassembled PDU]"
"214527","91.151171581","157.240.195.56","10.9.2.132","TLSv1.2","211","Application Data"
"214528","91.151171682","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=59038 Ack=52474 Win=2038 Len=1368 TSval=2428256411 TSecr=1553791623 [TCP segment of a reassembled PDU]"
"214531","91.151988814","157.240.195.56","10.9.2.132","TLSv1.2","1293","Application Data"
"214535","91.152849973","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=61633 Ack=52474 Win=2038 Len=1368 TSval=2428256412 TSecr=1553791623 [TCP segment of a reassembled PDU]"
"214536","91.153059769","157.240.195.56","10.9.2.132","TLSv1.2","1434","Application Data"
"214539","91.153771621","157.240.195.56","10.9.2.132","TLSv1.2","442","Application Data"
"214677","91.191947212","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"215399","91.392864981","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=64745 Ack=52570 Win=2038 Len=1368 TSval=2428256673 TSecr=1553792005 [TCP segment of a reassembled PDU]"
"215400","91.393637363","157.240.195.56","10.9.2.132","TLSv1.2","211","Application Data"
"215401","91.393637393","157.240.195.56","10.9.2.132","TCP","1434","443  >  41722 [ACK] Seq=66258 Ack=52570 Win=2038 Len=1368 TSval=2428256674 TSecr=1553792005 [TCP segment of a reassembled PDU]"
"215403","91.394025278","157.240.195.56","10.9.2.132","TLSv1.2","719","Application Data, Application Data"
"215516","91.425652763","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"221644","93.158924986","157.240.195.56","10.9.2.132","TLSv1.2","286","Application Data"
"221664","93.167572646","10.9.2.132","157.240.195.56","TLSv1.2","166","Application Data"
"240298","98.497537126","10.9.2.132","157.240.195.56","TLSv1.2","136","Application Data"
"240902","98.664255497","157.240.195.56","10.9.2.132","TLSv1.2","138","Application Data"
"272136","108.218393714","10.9.2.132","157.240.195.56","TLSv1.2","798","Application Data"
"272143","108.380703808","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"272165","108.640469456","157.240.195.56","10.9.2.132","TLSv1.2","1579","Application Data"
"272166","108.640469605","157.240.195.56","10.9.2.132","TLSv1.2","2802","Application Data"
"272169","108.641535173","157.240.195.56","10.9.2.132","TLSv1.2","83","Application Data"
"272170","108.641535219","157.240.195.56","10.9.2.132","TLSv1.2","233","Application Data"
"272175","108.652338104","10.9.2.132","157.240.195.56","TLSv1.2","159","Application Data"
"272176","108.658236353","10.9.2.132","157.240.195.56","TLSv1.2","159","Application Data"
"272177","108.692925268","10.9.2.132","157.240.195.56","TLSv1.2","798","Application Data"
"272179","108.693896859","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"272180","108.717836221","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"272181","108.719185084","10.9.2.132","157.240.195.56","TLSv1.2","162","Application Data"
"272192","108.849412374","157.240.195.56","10.9.2.132","TLSv1.2","177","Application Data"
"272199","109.132099099","157.240.195.56","10.9.2.132","TLSv1.2","161","Application Data"
"272201","109.132099167","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"272202","109.132099187","157.240.195.56","10.9.2.132","TLSv1.2","160","Application Data"
