"No.","Time","Source","Destination","Protocol","Length","Info"
"39392","272.369426465","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"39393","272.369474378","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"39394","272.369712292","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"39395","272.381937554","157.240.195.56","10.9.2.132","TLSv1.2","164","Application Data"
"39408","272.464881323","10.9.2.132","157.240.195.56","TLSv1.2","832","Application Data"
"39416","272.552193743","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"39421","272.588913532","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"39423","272.596626166","157.240.195.56","10.9.2.132","TLSv1.2","164","Application Data"
"39426","272.619073890","157.240.195.56","10.9.2.132","TLSv1.2","179","Application Data"
"39428","272.630998271","10.9.2.132","157.240.195.56","TLSv1.2","163","Application Data"
"39429","272.631051950","10.9.2.132","157.240.195.56","TLSv1.2","254","Application Data, Application Data"
"39430","272.631579310","10.9.2.132","157.240.195.56","TLSv1.2","163","Application Data"
"39433","272.652153698","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"39446","272.723503064","10.9.2.132","157.240.195.56","TLSv1.2","832","Application Data"
"39456","272.824472499","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"39459","272.860751334","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"39461","272.878799196","157.240.195.56","10.9.2.132","TLSv1.2","179","Application Data"
"39463","272.879096669","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"39470","272.892026500","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"39471","272.892094140","10.9.2.132","157.240.195.56","TLSv1.2","254","Application Data, Application Data"
"39472","272.892667021","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"39473","272.893512784","157.240.195.56","10.9.2.132","TLSv1.2","164","Application Data"
"39474","272.895264868","10.9.2.132","157.240.195.56","TLSv1.2","163","Application Data"
"39505","273.090768418","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"39506","273.092650871","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"39508","273.093044493","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"39510","273.097717053","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"39513","273.099677728","157.240.195.56","10.9.2.132","TLSv1.2","165","Application Data"
"39514","273.102368261","10.9.2.132","157.240.195.56","TLSv1.2","164","Application Data"
"39527","273.123646898","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
"39528","273.125496322","10.9.2.132","157.240.195.56","TLSv1.2","161","Application Data"
"39529","273.129791529","157.240.195.56","10.9.2.132","TLSv1.2","163","Application Data"
"39537","273.138538674","157.240.195.56","10.9.2.132","TLSv1.2","162","Application Data"
